Post;Huishouden;Woonsituatie;Inkomen;Jaar;Bedrag;Percentage inkomen
RESERVERINGSUITGAVEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3000;2019;643;0,214228331
 voeding;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3000;2019;390;0,130020219
 overige huishoudelijke uitgaven;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3000;2019;157;0,052481589
HUISHOUDELIJKE UITGAVEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3000;2019;548;0,182501808
OVERSCHOT/TEKORT;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3000;2019;0;0
wit1;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3000;2019;;0
wit2;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3000;2019;;0
wit3;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3000;2019;;0
wit4;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3000;2019;;0
TOTAAL INKOMEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;3.500;0
TOTAAL UITGAVEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;3.452;0
 huur/hypotheek;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;875;0,249857143
 gas;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;110;0,031428571
 elektriciteit;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;68;0,019428571
 water;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;19;0,005322857
 lokale lasten;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;59;0,016714286
 telefoon, televisie, internet;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;86;0,024618857
 verzekeringen;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;221;0,06314381
 onderwijs;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;35;0,010125714
 kinderopvang;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;0;0
 contributies en abonnementen;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;127;0,036142857
 vervoer;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;422;0,120482857
VASTE LASTEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;2.020;0,577265524
 kleding en schoenen;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;181;0,051701571
 inventaris;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;135;0,038536
 onderhoud huis en tuin;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;35;0,010091429
 niet-vergoede ziektekosten;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;38;0,01092381
 vrijetijdsuitgaven;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;469;0,133951143
RESERVERINGSUITGAVEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;858;0,245203952
 voeding;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;390;0,111445902
 overige huishoudelijke uitgaven;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;183;0,052273143
HUISHOUDELIJKE UITGAVEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;573;0,163719045
OVERSCHOT/TEKORT;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;48;0
wit1;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;;0
wit2;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;;0
wit3;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;;0
wit4;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;3500;2019;;0
TOTAAL INKOMEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;4.000;0
TOTAAL UITGAVEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;3.653;0
 huur/hypotheek;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;911;0,227625
 gas;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;110;0,0275
 elektriciteit;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;68;0,017
 water;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;19;0,0046575
 lokale lasten;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;59;0,014625
 telefoon, televisie, internet;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;88;0,0219165
 verzekeringen;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;227;0,056797083
 onderwijs;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;35;0,00886
 kinderopvang;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;0;0
 contributies en abonnementen;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;136;0,034
 vervoer;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;471;0,1177975
VASTE LASTEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;2.123;0,530778583
 kleding en schoenen;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;193;0,048363875
 inventaris;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;145;0,036219
 onderhoud huis en tuin;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;38;0,00958
 niet-vergoede ziektekosten;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;40;0,0100455
 vrijetijdsuitgaven;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;529;0,13220725
RESERVERINGSUITGAVEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;946;0,236415625
 voeding;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;390;0,097515164
 overige huishoudelijke uitgaven;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;194;0,048489
HUISHOUDELIJKE UITGAVEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;584;0,146004164
OVERSCHOT/TEKORT;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;347;0
wit1;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;;0
wit2;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;;0
wit3;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;;0
wit4;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4000;2019;;0
TOTAAL INKOMEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;4.500;0
TOTAAL UITGAVEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;3.853;0
 huur/hypotheek;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;945;0,21
 gas;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;110;0,024444444
 elektriciteit;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;68;0,015111111
 water;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;19;0,00414
 lokale lasten;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;59;0,013
 telefoon, televisie, internet;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;89;0,019814667
 verzekeringen;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;233;0,051860741
 onderwijs;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;35;0,007875556
 kinderopvang;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;0;0
 contributies en abonnementen;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;146;0,032333333
 vervoer;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;521;0,115708889
VASTE LASTEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;2.224;0,494288741
 kleding en schoenen;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;206;0,045767889
 inventaris;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;155;0,034416889
 onderhoud huis en tuin;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;41;0,009182222
 niet-vergoede ziektekosten;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;43;0,009596
 vrijetijdsuitgaven;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;589;0,130850889
RESERVERINGSUITGAVEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;1.034;0,229813889
 voeding;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;390;0,086680146
 overige huishoudelijke uitgaven;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;205;0,045545778
HUISHOUDELIJKE UITGAVEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;595;0,132225924
OVERSCHOT/TEKORT;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;647;0
wit1;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;;0
wit2;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;;0
wit3;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;;0
wit4;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;4500;2019;;0
TOTAAL INKOMEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;5.000;0
TOTAAL UITGAVEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;4.098;0
 huur/hypotheek;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;1.017;0,2034
 gas;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;110;0,022
 elektriciteit;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;68;0,0136
 water;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;19;0,003726
 lokale lasten;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;59;0,0117
 telefoon, televisie, internet;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;91;0,0181332
 verzekeringen;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;240;0,047911667
 onderwijs;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;35;0,007088
 kinderopvang;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;0;0
 contributies en abonnementen;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;155;0,031
 vervoer;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;570;0,114038
VASTE LASTEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;2.363;0,472596867
 kleding en schoenen;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;218;0,0436911
 inventaris;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;165;0,0329752
 onderhoud huis en tuin;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;44;0,008864
 niet-vergoede ziektekosten;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;46;0,0092364
 vrijetijdsuitgaven;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;649;0,1297658
RESERVERINGSUITGAVEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;1.123;0,2245325
 voeding;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;397;0,0793312
 overige huishoudelijke uitgaven;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;216;0,0431912
HUISHOUDELIJKE UITGAVEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;613;0,1225224
OVERSCHOT/TEKORT;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;902;0
wit1;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;;0
wit2;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;;0
wit3;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;;0
wit4;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5000;2019;;0
TOTAAL INKOMEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;5.500;0
TOTAAL UITGAVEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;4.278;0
 huur/hypotheek;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;1.017;0,184909091
 gas;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;110;0,02
 elektriciteit;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;68;0,012363636
 water;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;19;0,003387273
 lokale lasten;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;59;0,010636364
 telefoon, televisie, internet;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;92;0,016757455
 verzekeringen;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;246;0,044680606
 onderwijs;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;35;0,006443636
 kinderopvang;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;0;0
 contributies en abonnementen;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;165;0,029909091
 vervoer;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;620;0,112670909
VASTE LASTEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;2.430;0,441758061
 kleding en schoenen;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;231;0,041991909
 inventaris;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;175;0,031795636
 onderhoud huis en tuin;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;47;0,008603636
 niet-vergoede ziektekosten;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;49;0,008942182
 vrijetijdsuitgaven;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;709;0,128878
RESERVERINGSUITGAVEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;1.211;0,220211364
 voeding;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;410;0,074573818
 overige huishoudelijke uitgaven;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;227;0,041264727
HUISHOUDELIJKE UITGAVEN;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;637;0,115838545
OVERSCHOT/TEKORT;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;1.222;0
wit1;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;;0
wit2;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;;0
wit3;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;;0
wit4;Eenouder met 2 kinderen;1,5 keer gemiddelde huur;5500;2019;;0
TOTAAL INKOMEN;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;;0
TOTAAL UITGAVEN;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;1.571;0
 huur/hypotheek;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;229;0,1454877
 gas;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;99;0,063000972
 elektriciteit;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;61;0,038946056
 water;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;17;0,010670074
 lokale lasten;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;59;0,037227847
 telefoon, televisie, internet;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;59;0,037386941
 verzekeringen;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;194;0,123414026
 onderwijs;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;35;0,022553075
 kinderopvang;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;0;0
 contributies en abonnementen;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;2;0,000986379
 vervoer;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;42;0,026912233
VASTE LASTEN;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;796;0,506585302
 kleding en schoenen;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;121;0,077309829
 inventaris;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;85;0,053878559
 onderhoud huis en tuin;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;72;0,045627977
 niet-vergoede ziektekosten;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;38;0,024330678
 vrijetijdsuitgaven;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;0;0
RESERVERINGSUITGAVEN;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;316;0,201147043
 voeding;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;390;0,248224248
 overige huishoudelijke uitgaven;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;69;0,044043407
HUISHOUDELIJKE UITGAVEN;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;459;0,292267655
OVERSCHOT/TEKORT;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;;0
wit1;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;;0
wit2;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;;0
wit3;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;;0
wit4;Eenouder met 2 kinderen;gemiddelde hypotheek;1;2019;;0
TOTAAL INKOMEN;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;;0
TOTAAL UITGAVEN;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;1.767;0
 huur/hypotheek;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;229;0,12936598
 gas;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;99;0,056019736
 elektriciteit;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;61;0,034630382
 water;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;17;0,009487706
 lokale lasten;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;59;0,033102571
 telefoon, televisie, internet;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;59;0,033244035
 verzekeringen;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;194;0,109738324
 onderwijs;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;35;0,020053934
 kinderopvang;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;0;0
 contributies en abonnementen;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;50;0,028253186
 vervoer;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;60;0,034030575
VASTE LASTEN;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;862;0,487926429
 kleding en schoenen;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;121;0,068743006
 inventaris;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;85;0,047908191
 onderhoud huis en tuin;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;72;0,040571869
 niet-vergoede ziektekosten;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;38;0,021634558
 vrijetijdsuitgaven;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;75;0,042371291
RESERVERINGSUITGAVEN;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;391;0,221228916
 voeding;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;390;0,220718131
 overige huishoudelijke uitgaven;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;124;0,070126524
HUISHOUDELIJKE UITGAVEN;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;514;0,290844655
OVERSCHOT/TEKORT;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;;0
wit1;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;;0
wit2;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;;0
wit3;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;;0
wit4;Eenouder met 2 kinderen;gemiddelde hypotheek;2;2019;;0
TOTAAL INKOMEN;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;2.250;0
TOTAAL UITGAVEN;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;2.250;0
 huur/hypotheek;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;457;0,203111111
 gas;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;102;0,045549979
 elektriciteit;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;63;0,028158169
 water;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;17;0,00771451
 lokale lasten;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;59;0,026
 telefoon, televisie, internet;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;66;0,029445821
 verzekeringen;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;209;0,09285856
 onderwijs;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;35;0,015751111
 kinderopvang;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;0;0
 contributies en abonnementen;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;67;0,029633829
 vervoer;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;136;0,060236621
VASTE LASTEN;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;1.212;0,538459711
 kleding en schoenen;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;130;0,057969805
 inventaris;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;105;0,046812375
 onderhoud huis en tuin;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;82;0,036296535
 niet-vergoede ziektekosten;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;38;0,016992593
 vrijetijdsuitgaven;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;152;0,06765417
RESERVERINGSUITGAVEN;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;508;0,225725478
 voeding;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;390;0,173360292
 overige huishoudelijke uitgaven;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;141;0,062454519
HUISHOUDELIJKE UITGAVEN;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;531;0,235814811
OVERSCHOT/TEKORT;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;0;0
wit1;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;;0
wit2;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;;0
wit3;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;;0
wit4;Eenouder met 2 kinderen;gemiddelde hypotheek;2250;2019;;0
TOTAAL INKOMEN;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;2.500;0
TOTAAL UITGAVEN;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;2.500;0
 huur/hypotheek;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;457;0,1828
 gas;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;105;0,042097193
 elektriciteit;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;65;0,026023719
 water;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;18;0,007129734
 lokale lasten;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;59;0,0234
 telefoon, televisie, internet;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;73;0,02904286
 verzekeringen;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;223;0,089015017
 onderwijs;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;35;0,014176
 kinderopvang;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;0;0
 contributies en abonnementen;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;83;0,033041399
 vervoer;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;209;0,083659453
VASTE LASTEN;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;1.326;0,530385375
 kleding en schoenen;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;141;0,056419408
 inventaris;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;124;0,049796728
 onderhoud huis en tuin;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;93;0,037235882
 niet-vergoede ziektekosten;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;38;0,015293333
 vrijetijdsuitgaven;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;230;0,092143225
RESERVERINGSUITGAVEN;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;627;0,250888577
 voeding;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;390;0,156024263
 overige huishoudelijke uitgaven;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;157;0,062701786
HUISHOUDELIJKE UITGAVEN;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;547;0,218726049
OVERSCHOT/TEKORT;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;0;0
wit1;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;;0
wit2;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;;0
wit3;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;;0
wit4;Eenouder met 2 kinderen;gemiddelde hypotheek;2500;2019;;0
TOTAAL INKOMEN;Eenouder met 2 kinderen;gemiddelde hypotheek;3000;2019;3.000;0
TOTAAL UITGAVEN;Eenouder met 2 kinderen;gemiddelde hypotheek;3000;2019;3.000;0
 huur/hypotheek;Eenouder met 2 kinderen;gemiddelde hypotheek;3000;2019;513;0,171
 gas;Eenouder met 2 kinderen;gemiddelde hypotheek;3000;2019;109;0,036258607
 elektriciteit;Eenouder met 2 kinderen;gemiddelde hypotheek;3000;2019;67;0,022414412
 water;Eenouder met 2 kinderen;gemiddelde hypotheek;3000;2019;18;0,00614089
 lokale lasten;Eenouder met 2 kinderen;gemiddelde hypotheek;3000;2019;59;0,0195
 telefoon, televisie, internet;Eenouder met 2 kinderen;gemiddelde hypotheek;3000;2019;82;0,027260612
 verzekeringen;Eenouder met 2 kinderen;gemiddelde hypotheek;3000;2019;244;0,081407017
 onderwijs;Eenouder met 2 kinderen;gemiddelde hypotheek;3000;2019;35;0,011813333
 kinderopvang;Eenouder met 2 kinderen;gemiddelde hypotheek;3000;2019;0;0
 contributies en abonnementen;Eenouder met 2 kinderen;gemiddelde hypotheek;3000;2019;110;0,036511952
 vervoer;Eenouder met 2 kinderen;gemiddelde hypotheek;3000;2019;337;0,112487435
VASTE LASTEN;Eenouder met 2 kinderen;gemiddelde hypotheek;3000;2019;1.574;0,524794259
 kleding en schoenen;Eenouder met 2 kinderen;gemiddelde hypotheek;3000;2019;163;0,054409402
 inventaris;Eenouder met 2 kinderen;gemiddelde hypotheek;3000;2019;156;0,051972175
 onderhoud huis en tuin;Eenouder met 2 kinderen;gemiddelde hypotheek;3000;2019;121;0,040469663
 niet-vergoede ziektekosten;Eenouder met 2 kinderen;gemiddelde hypotheek;3000;2019;38;0,012744444
 vrijetijdsuitgaven;Eenouder met 2 kinderen;gemiddelde hypotheek;3000;2019;372;0,123888064
